Title,RD,MLP,SVM,NB
BagOfWords-min preprocess,0.7525000000000001,0.8099999999999999,0.7274999999999999,0.8
BagOfWords-stop words removal,0.74,0.7775,0.7350000000000001,0.7950000000000002
BagOfWords-Lemmatization,0.7475,0.7899999999999999,0.7224999999999999,0.785
BagOfWords-Lemmatization + stop words removal,0.7575000000000001,0.7775000000000001,0.7299999999999999,0.7849999999999999
TFIDF-min preprocess,0.7649999999999999,0.8,0.805,0.825
TFIDF-stop words removal,0.7575,0.7825,0.8024999999999999,0.8049999999999999
TFIDF-Lemmatization,0.76,0.8024999999999999,0.8074999999999999,0.82
TFIDF-Lemmatization + stop words removal,0.74,0.785,0.7950000000000002,0.8100000000000002
fastText-min preprocess,0.7275,0.7975,0.7075000000000001,0.665
fastText-stop words removal,0.7375,0.7925000000000001,0.72,0.6
fastText-Lemmatization,0.7525,0.8049999999999999,0.71,0.6775
fastText-Lemmatization + stop words removal,0.725,0.7975,0.72,0.6000000000000001
doc2vec-min preprocess,0.7975,0.7949999999999999,0.8125,0.6625000000000001
doc2vec-stop words removal,0.8074999999999999,0.8274999999999999,0.8274999999999999,0.6275000000000001
doc2vec-Lemmatization,0.7849999999999999,0.8099999999999999,0.82,0.6575
doc2vec-Lemmatization + stop words removal,0.7725,0.7975000000000001,0.79,0.615
inferSent-min preprocess,0.7775,0.8300000000000001,0.82,0.71
inferSent-stop words removal,0.8074999999999999,0.8150000000000001,0.825,0.7175
inferSent-Lemmatization,0.795,0.8175000000000001,0.8175000000000001,0.71
inferSent-Lemmatization + stop words removal,0.7924999999999999,0.8174999999999999,0.825,0.7025
MiniLM-min preprocess,0.8025,0.86,0.8474999999999999,0.7975000000000001
MiniLM-stop words removal,0.7775,0.7975000000000001,0.8125,0.765
MiniLM-Lemmatization,0.8049999999999999,0.85,0.8375,0.7849999999999999
MiniLM-Lemmatization + stop words removal,0.7849999999999999,0.8125,0.8174999999999999,0.76
MPNet-min preprocess,0.8699999999999999,0.86,0.8875,0.8275
MPNet-stop words removal,0.825,0.8125,0.845,0.7950000000000002
MPNet-Lemmatization,0.865,0.8675,0.885,0.8375
MPNet-Lemmatization + stop words removal,0.8150000000000001,0.805,0.8525,0.8025
DistilRoBERTa-min preprocess,0.8724999999999999,0.85,0.89,0.8350000000000002
DistilRoBERTa-stop words removal,0.77,0.82,0.8400000000000001,0.775
DistilRoBERTa-Lemmatization,0.8525,0.8625,0.8875,0.835
DistilRoBERTa-Lemmatization + stop words removal,0.7875,0.8075000000000001,0.8275,0.7825
Universal Sentence Encoder-min preprocess,0.8625,0.845,0.8850000000000001,0.8725000000000002
Universal Sentence Encoder-stop words removal,0.7825,0.7975,0.8074999999999999,0.7975
Universal Sentence Encoder-Lemmatization,0.8525,0.8275,0.8775000000000001,0.86
Universal Sentence Encoder-Lemmatization + stop words removal,0.8025,0.7875,0.8174999999999999,0.7925
