Title,RN_mean,MLP_mean,SVM_mean,NB_mean,Total_mean
min preprocess,0.8030555555555555,0.8275,0.8202777777777778,0.745,0.7989583333333333
stop words removal,0.7783333333333333,0.8025,0.8016666666666666,0.7136111111111112,0.7740277777777778
Lemmatization,0.8016666666666666,0.8258333333333333,0.8183333333333334,0.7413888888888889,0.7968055555555555
Lemmatization + stop words removal,0.7752777777777778,0.798611111111111,0.7972222222222222,0.7066666666666666,0.7694444444444444
bagOfWords,0.749375,0.78875,0.72875,0.669375,0.7340625
tfidf,0.755625,0.7925,0.8025,0.654375,0.75125
fastText,0.7356250000000001,0.798125,0.714375,0.635625,0.7209375
doc2vec,0.790625,0.8075,0.8125,0.640625,0.7628125
inferSent,0.793125,0.82,0.8218749999999999,0.7100000000000001,0.7862499999999999
miniLM,0.7925000000000001,0.83,0.82875,0.776875,0.80703125
mpnet,0.8437499999999999,0.83625,0.8674999999999999,0.815625,0.84078125
roberta,0.820625,0.835,0.86125,0.806875,0.8309375000000001
USE,0.825,0.8143750000000001,0.8468749999999999,0.830625,0.82921875
LearningAlgo,0.7895833333333333,0.8136111111111111,0.8093750000000001,0.7266666666666666,0.7848090277777777
no features addition,0.828125,0.8395833333333335,0.8556249999999999,0,0.8411111111111111
bagOfWords addition,0.8289583333333334,0.8322916666666665,0.741875,0,0.8010416666666665
tfidf addition,0.8283333333333335,0.8514583333333334,0.850625,0,0.8434722222222223
tfidf+bagOfWordsAddition,0.82375,0.835625,0.741875,0,0.8004166666666666
